Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
Sunny and Steep,Kraft Mountain Area,2,12.4,0.0,1,2.2,36.1699,-115.4232,0.0,0.0,1.0,1.0,0.0,0.0,0,2,,6.2,110
Yin and Yang Cliff,Kraft Mountain Area,9,45.5,0.0,3,2.5,36.1679,-115.427,,,,,,,9,0,5.9,5.06,35
Winter Heat Wall,Kraft Mountain Area,7,36.3,0.0,11,2.7571,36.1688,-115.4224,0.0,0.0,0.0,2.0,0.0,0.0,5,2,5.8,5.19,51
Ultraman Wall,First Pullout (Calico I),13,75.8,0.0323,19,2.2923,36.1515,-115.4312,0.0,0.0,5.0,2.0,0.0,0.0,5,7,5.7+,5.83,17
Wall of Death,First Pullout (Calico I),3,18.8,0.0334,32,2.6,36.1513,-115.4314,0.0,0.0,2.0,0.0,0.0,0.0,0,2,,6.27,93
Janes Wall,First Pullout (Calico I),10,50.9,0.0337,35,2.19,36.1523,-115.4323,0.0,3.0,0.0,4.0,0.0,0.0,3,7,5.5+,5.09,30
Iron Man Wall,First Pullout (Calico I),12,61.1,0.0341,45,1.8417,36.1519,-115.4321,0.0,1.0,2.0,4.0,2.0,0.0,3,9,5.8+,5.09,22
The Hamlet,First Pullout (Calico I),13,78.8,0.0341,57,2.3692,36.1506,-115.4311,0.0,0.0,7.0,2.0,0.0,0.0,0,9,,6.06,15
Trundle Wall,First Pullout (Calico I),3,10.8,0.0345,70,1.6,36.1523,-115.4325,0.0,3.0,0.0,0.0,0.0,0.0,0,3,,3.6,116
Newcastle Crag,First Pullout (Calico I),10,51.7,0.0371,73,2.17,36.1512,-115.4325,0.0,2.0,1.0,1.0,0.0,0.0,0,4,,5.17,29
Tsunami Wall,First Pullout (Calico I),3,15.6,0.0376,83,1.5333,36.1518,-115.4331,0.0,0.0,0.0,2.0,0.0,0.0,1,2,5.7,5.2,100
Tiger Stripe Wall,First Pullout (Calico I),5,25.4,0.2673,86,1.68,36.148,-115.4305,0.0,0.0,0.0,2.0,0.0,0.0,3,2,5.9+,5.08,70
The Slab,First Pullout (Calico I),10,62.2,0.2686,91,2.22,36.1488,-115.4303,0.0,0.0,8.0,2.0,0.0,0.0,0,10,,6.22,21
The J Wall,First Pullout (Calico I),4,20.6,0.2689,101,2.4,36.1503,-115.4311,0.0,2.0,0.0,1.0,0.0,0.0,0,3,,5.15,88
The Shipwreck,First Pullout (Calico I),3,16.8,0.2689,105,2.2667,36.1479,-115.4297,0.0,0.0,0.0,1.0,0.0,0.0,2,1,5.9,5.6,96
Amusement Park,First Pullout (Calico I),12,63.6,0.2691,108,1.2167,36.1494,-115.4305,0.0,0.0,10.0,0.0,0.0,0.0,0,10,,5.3,20
Dog Wall,First Pullout (Calico I),8,41.7,0.2693,120,2.3375,36.1474,-115.4293,0.0,3.0,0.0,2.0,0.0,0.0,3,5,5.8+,5.21,42
Fixx Cliff,First Pullout (Calico I),18,49.8,0.2699,128,0.9889,36.148,-115.4293,0.0,0.0,0.0,1.0,0.0,0.0,17,1,5.10+,2.77,31
Tuna and Chips Wall,First Pullout (Calico I),8,48.5,0.2703,146,2.4375,36.1485,-115.4294,0.0,0.0,4.0,1.0,0.0,0.0,2,5,5.7,6.06,33
Panty Wall,First Pullout (Calico I),21,117.1,0.2706,154,2.3381,36.1496,-115.4299,0.0,3.0,6.0,4.0,0.0,0.0,5,13,5.10,5.58,2
Chuck Wall,First Pullout (Calico I),6,35.9,0.271,175,2.15,36.1478,-115.4287,0.0,0.0,1.0,4.0,0.0,0.0,1,5,5.7,5.98,53
Right Wall,The Oasis,3,14.1,0.2712,181,1.7,36.1485,-115.429,0.0,1.0,1.0,0.0,0.0,0.0,1,2,5.7,4.7,106
Left Wall,The Oasis,5,24.8,0.2713,184,2.56,36.1487,-115.429,0.0,3.0,1.0,0.0,1.0,0.0,0,5,,4.96,73
Upper Tier,The Oasis,1,6.7,0.2717,189,2.7,36.1488,-115.4289,0.0,0.0,0.0,1.0,0.0,0.0,0,1,,6.7,132
Universal City,First Pullout (Calico I),4,20.1,0.2727,190,2.525,36.1472,-115.4268,0.0,3.0,0.0,1.0,0.0,0.0,0,4,,5.03,89
Dante's Wall,First Pullout (Calico I),8,52.2,0.2727,192,2.65,36.145,-115.4247,1.0,0.0,0.0,7.0,0.0,0.0,0,8,,6.52,27
Velvet Elvis,First Pullout (Calico I),4,14.5,0.2727,194,1.875,36.1466,-115.4268,0.0,3.0,0.0,0.0,0.0,0.0,1,3,5.11,3.62,105
Child's Play Wall,First Pullout (Calico I),4,25.0,0.2727,195,2.25,36.1471,-115.4272,0.0,0.0,4.0,0.0,0.0,0.0,0,4,,6.25,71
Ghost Wall,First Pullout (Calico I),4,18.0,0.2727,203,2.25,36.1446,-115.425,0.0,1.0,0.0,1.0,1.0,0.0,1,3,5.11,4.5,94
The Chasm,First Pullout (Calico I),3,16.2,0.2727,210,2.4,36.1452,-115.4252,1.0,1.0,0.0,1.0,0.0,0.0,0,3,,5.4,98
Jessica's Wall,First Pullout (Calico I),7,41.8,0.2727,215,2.2571,36.1447,-115.4256,0.0,0.0,1.0,4.0,0.0,0.0,2,5,5.9,5.97,41
Climb Bomb,First Pullout (Calico I),3,12.0,0.2727,219,1.6667,36.1466,-115.427,0.0,2.0,0.0,0.0,0.0,0.0,1,2,5.9,4.0,112
The Black Hole,First Pullout (Calico I),9,52.0,0.2727,221,2.3333,36.1461,-115.4265,0.0,0.0,1.0,5.0,0.0,0.0,3,6,5.3,5.78,28
