Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Blue Bunny,Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107616415/blue-bunny,1.6,-1,Trad,5.7,1,150,36.14396,-115.49249
Fold Out,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732605/fold-out,2.6,-1,Trad,5.8,1,120,36.144,-115.49069
Sensuous Mortician,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732602/sensuous-mortician,3.1,-1,Trad,5.9,1,120,36.144,-115.49069
Back in Time,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107903955/back-in-time,3.5,-1,Trad,5.10a,1,120,36.144,-115.49069
Black Magic Panties,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732599/black-magic-panties,2.7,-1,Trad,5.10- R,1,120,36.144,-115.49069
Shady Ladies,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732749/shady-ladies,2.3,-1,Trad,5.7,1,100,36.145,-115.49403
Van Allen Belt,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732752/van-allen-belt,2,-1,Trad,5.7 R,1,50,36.145,-115.49403
Cold September Corner,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732746/cold-september-corner,3.3,-1,Trad,5.8,1,60,36.145,-115.49403
Fork In The Road,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125294216/fork-in-the-road,2,-1,Trad,5.8,1,90,36.145,-115.49403
Adapt and Overcome,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116688459/adapt-and-overcome,2.5,-1,Trad,5.8 PG13,1,100,36.145,-115.49403
Aesop’s Arete,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/117952618/aesops-arete,2.7,-1,Trad,5.9,1,100,36.145,-115.49403
Magellanic Cloud,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732755/magellanic-cloud,3,-1,Trad,5.9,1,50,36.145,-115.49403
Mister Masters,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105733163/mister-masters,3.3,-1,Trad,5.9+,1,70,36.145,-115.49403
Starless and Bible Black,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/117952585/starless-and-bible-black,2.8,-1,Trad,5.9+,1,100,36.145,-115.49403
Blast From the Past,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113885778/blast-from-the-past,2,-1,Trad,5.10-,1,115,36.145,-115.49403
Tie me Tightly,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105946280/tie-me-tightly,2.5,-1,Trad,5.10-,1,90,36.145,-115.49403
Bad Day at Black Rocks,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957067/bad-day-at-black-rocks,1.6,-1,Trad,5.10b,1,70,36.145,-115.49403
Pit Bull,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957078/pit-bull,2.7,-1,Trad,5.10b,1,60,36.145,-115.49403
