Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Latitude,Longitude,Area,Canyon,Path_Position,Distance_to_Road,Scenic_Loop_Order
Working for Peanuts,Sunny and Steep > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106601293/working-for-peanuts,1.7,-1,Sport,5.9+,1,60.0,36.16986,-115.42321,Sunny and Steep,Kraft Mountain Area,0.0,0.7846643408093956,1
Sport Chimney,Sunny and Steep > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106516267/sport-chimney,2.7,-1,Sport,5.8,1,70.0,36.16986,-115.42321,Sunny and Steep,Kraft Mountain Area,0.0,0.7846643408093956,2
Miniwanka,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107077673/miniwanka,1.9,-1,Trad,5.7,1,40.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,3
Budda's Corner,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926086/buddas-corner,1.3,-1,Trad,5.7+,1,,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,4
Bigwank,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107914182/bigwank,2.4,-1,Trad,5.9,1,20.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,5
Atman,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732482/atman,3.1,-1,Trad,5.10a,1,40.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,6
Renewal,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113980407/renewal,2.9,-1,Trad,5.10c,1,30.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,7
Shortwank,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107088721/shortwank,2.5,-1,Trad,5.10+,1,25.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,8
Yin and Yang,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732485/yin-and-yang,3.6,-1,Trad,5.11a,1,40.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,9
Boxing Day,Yin and Yang Cliff > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111476995/boxing-day,2.0,-1,Trad,5.8 R,1,40.0,36.16791,-115.42695,Yin and Yang Cliff,Kraft Mountain Area,0.0,0.6302262964242691,10
Nuttin Could be Finer,Winter Heat Wall > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113546093/nuttin-could-be-finer,1.8,-1,Trad,5.8 PG13,1,70.0,36.16876,-115.42245,Winter Heat Wall,Kraft Mountain Area,0.0,0.7226270003903962,11
Couldn't be Schmooter,Winter Heat Wall > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105934930/couldnt-be-schmooter,3.2,-1,Trad,5.9-,1,80.0,36.16876,-115.42245,Winter Heat Wall,Kraft Mountain Area,0.0,0.7226270003903962,12
High Class Ho,Winter Heat Wall > Kraft Mountain Area > Calico Basin > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105953648/high-class-ho,2.9,-1,Trad,5.10a/b,1,80.0,36.16876,-115.42245,Winter Heat Wall,Kraft Mountain Area,0.0,0.7226270003903962,13
